file,average_tempo,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes
Bach - 010406bv.csv,625000.0,96.0,280,61441,0.004557217493204863,0.0,23,307205,75
Bach - 010406b_.csv,625000.0,96.0,280,61441,0.004557217493204863,0.0,23,307205,75
Bach - 010506b_.csv,833333.0,72.00002880001152,1128,98304,0.011474609375,0.0,43,884736,378
Bach - 010602b_.csv,857142.0,70.00007000007,1619,157696,0.01026658887987013,0.0,35,1419264,477
Bach - 010707b_.csv,625000.0,96.0,1212,172033,0.007045159940244023,0.0,43,1548297,376
Bach - 010806b_.csv,714285.0,84.000084000084,291,57345,0.00507454878367774,0.0,29,286725,86
Bach - 011007b_.csv,625000.0,96.0,206,49152,0.004191080729166667,0.0,26,245760,57
Bach - 011106b_.csv,625000.0,96.0,353,86016,0.004103887648809524,0.0,24,430080,105
Bach - 011205b_.csv,625000.0,96.0,504,61441,0.008202991487768754,0.0,27,491528,150
Bach - 011308b_.csv,625000.0,96.0,285,65537,0.004348688527091566,0.0,29,327685,79
Bach - 011407b_.csv,666666.0,90.00009000009,291,61441,0.004736251037580769,0.0,25,307205,89
Bach - 011506bv.csv,625000.0,96.0,333,57345,0.005806957886476589,0.0,26,344070,78
Bach - 011506b_.csv,625000.0,96.0,333,57345,0.005806957886476589,0.0,26,344070,78
Bach - 011606b_.csv,625000.0,96.0,215,57345,0.0037492370738512514,0.0,24,286725,69
Bach - 011704b_.csv,645161.0,93.00004185001883,360,61441,0.005859279634120538,0.0,34,368646,101
Bach - 011704v1.csv,645161.0,93.00004185001883,366,61441,0.005956934294689214,0.0,34,368646,97
Bach - 011704v2.csv,645161.0,93.00004185001883,360,61441,0.005859279634120538,0.0,34,368646,102
Bach - 011909b_.csv,500000.0,120.0,180,90112,0.0019975142045454545,0.0,23,450560,62
Bach - 012006b_.csv,625000.0,96.0,294,69633,0.00422213605618026,0.0,27,348165,90
Bach - 012008ba.csv,576923.0,104.00001386666851,400,58368,0.006853070175438596,0.0,29,525312,145
Bach - 012106b_.csv,625000.0,96.0,344,69633,0.00494018640587078,0.0,31,417798,87
Bach - 012206b_.csv,600000.0,100.0,198,49153,0.004028238357780807,0.0,32,294918,56
Bach - 012306b_.csv,375000.0,160.0,276,147458,0.001871719404847482,0.0,27,737290,70
Bach - 012406b_.csv,612244.0,98.00014373354415,327,53248,0.006141075721153846,0.0,27,319488,80
Bach - 012506b_.csv,625000.0,96.0,215,53248,0.004037710336538462,0.0,29,266240,72
Bach - 012606bv.csv,638297.0,94.00012846684224,479,114689,0.004176512132811342,0.0,31,573445,137
Bach - 012606b_.csv,638297.0,94.00012846684224,479,114689,0.004176512132811342,0.0,31,573445,137
Bach - 012705b_.csv,666666.0,90.00009000009,242,53248,0.004544771634615385,0.0,31,266240,69
Bach - 012805b_.csv,625000.0,96.0,382,69633,0.005485904671635575,0.0,29,487431,118
Bach - 012905b_.csv,1000000.0,60.0,1909,141312,0.013509114583333334,0.0,38,1271808,650
Bach - 013006b_.csv,555555.0,108.000108000108,395,52224,0.007563572303921569,0.0,33,470016,113
Bach - 013306b_.csv,625000.0,96.0,237,69633,0.0034035586575330663,0.0,23,348165,80
Bach - 013506b_.csv,625000.0,96.0,276,69633,0.003963637930291672,0.0,27,348165,67
Bach - 013606b_.csv,681818.0,88.00002346667293,338,54272,0.006227889150943396,0.0,37,379904,109
Bach - 013701b_.csv,750000.0,80.0,5218,325632,0.016024223663522012,0.0,42,2930688,1595
Bach - 013702b_.csv,714285.0,84.000084000084,1304,304129,0.004287654251978601,0.0,41,1216516,163
Bach - 013703b_.csv,652173.0,92.00012880018032,1627,340993,0.004771358942852199,0.0,48,2045958,414
Bach - 013705b_.csv,576923.0,104.00001386666851,400,58368,0.006853070175438596,0.0,29,525312,145
Bach - 013705ch.csv,576923.0,104.00001386666851,206,58368,0.0035293311403508773,0.0,24,291840,54
Bach - 013807b_.csv,1034482.0,58.00004253336452,2615,142848,0.01830617159498208,0.0,45,1285632,513
Bach - 013906b_.csv,612244.0,98.00014373354415,226,53248,0.004244290865384615,0.0,23,266240,62
Bach - 014001b_.csv,681818.0,88.00002346667293,6279,629760,0.00997046493902439,0.0,46,5667840,2122
Bach - 014004b_.csv,789473.0,76.00006586672374,1609,307201,0.005237613158811332,0.0,45,1843206,360
Bach - 014007b_.csv,324324.0,185.000185000185,405,212993,0.0019014709403595423,0.0,26,1064965,111
Bach - 014403b_.csv,625000.0,96.0,270,61441,0.004394459725590404,0.0,22,307205,72
Bach - 014406b_.csv,625000.0,96.0,334,86016,0.003882998511904762,0.0,28,430080,102
Bach - 014500ba.csv,625000.0,96.0,213,49152,0.00433349609375,0.0,29,245760,59
Bach - 014505bv.csv,600000.0,100.0,175,55296,0.00316478587962963,0.0,28,276480,50
Bach - 014505b_.csv,600000.0,100.0,176,55296,0.00318287037037037,0.0,28,276480,52
Bach - 014608b_.csv,625000.0,96.0,287,67584,0.004246567234848485,0.0,24,337920,83
Bach - 014706b_.csv,444444.0,135.000135000135,1670,327170,0.005104379985940031,0.0,38,2944530,462
Bach - 014710b_.csv,444444.0,135.000135000135,1670,327170,0.005104379985940031,0.0,38,2944530,462
Bach - 014806bv.csv,600000.0,100.0,204,53248,0.0038311298076923075,0.0,25,266240,56
Bach - 014806b_.csv,625000.0,96.0,206,53248,0.003868689903846154,0.0,25,266240,64
Bach - 014907b_.csv,625000.0,96.0,768,110593,0.006944381651641605,0.0,32,995337,225
Bach - 014907ch.csv,625000.0,96.0,508,110593,0.004593419113325436,0.0,30,552965,139
Bach - 015105b_.csv,625000.0,96.0,168,45056,0.003728693181818182,0.0,22,225280,55
Bach - 015301b_.csv,625000.0,96.0,271,61441,0.00441073550235185,0.0,27,307205,80
Bach - 015305b_.csv,625000.0,96.0,241,69633,0.003461002685508308,0.0,28,348165,76
Bach - 015309b_.csv,625000.0,96.0,143,49152,0.0029093424479166665,0.0,26,245760,43
Bach - 015403b_.csv,625000.0,96.0,274,65537,0.004180844408502068,0.0,23,327685,90
Bach - 015408b_.csv,625000.0,96.0,242,57345,0.0042200714970790825,0.0,25,286725,65
Bach - 015505b_.csv,600000.0,100.0,298,61440,0.004850260416666667,0.0,29,307200,86
Bach - 015606b_.csv,625000.0,96.0,278,73729,0.0037705651778811595,0.0,26,368645,81
Bach - 015705b_.csv,588235.0,102.0000510000255,246,53249,0.004619805066761817,0.0,25,266245,75
Bach - 015804b_.csv,681818.0,88.00002346667293,273,69632,0.003920611213235294,0.0,30,348160,82
Bach - 015905b_.csv,652173.0,92.00012880018032,343,65537,0.005233684788745289,0.0,26,393222,87
Bach - 016106b_.csv,714285.0,84.000084000084,524,71680,0.007310267857142857,0.0,39,501760,128
Bach - 016206b_.csv,625000.0,96.0,291,65537,0.004440239864504021,0.0,28,327685,84
Bach - 016406b_.csv,576923.0,104.00001386666851,236,61441,0.003841083315701242,0.0,25,307205,71
Bach - 016506b_.csv,600000.0,100.0,157,36865,0.0042587820425878204,0.0,24,184325,41
Bach - 016606b_.csv,625000.0,96.0,212,61441,0.0034504646734265392,0.0,23,307205,79
Bach - 016806b_.csv,625000.0,96.0,280,65537,0.004272395745914522,0.0,27,327685,76
Bach - 016907b_.csv,625000.0,96.0,248,65537,0.0037841219463814334,0.0,29,327685,71
Bach - 017106b_.csv,600000.0,100.0,927,172033,0.005388501043404463,0.0,33,1376264,294
Bach - 017206b_.csv,681818.0,88.00002346667293,483,85197,0.005669213704707912,0.0,29,511182,158
Bach - 017206ch.csv,1000000.0,60.0,483,85197,0.005669213704707912,0.0,29,511182,158
Bach - 017206vn.csv,681818.0,88.00002346667293,123,85197,0.0014437128067889713,0.0,15,170394,0
Bach - 017405b_.csv,681818.0,88.00002346667293,494,106496,0.004638671875,0.0,30,532480,148
Bach - 017507b_.csv,576923.0,104.00001386666851,745,118784,0.006271888469827586,0.0,31,950272,244
Bach - 017507ch.csv,576923.0,104.00001386666851,424,118784,0.0035695043103448278,0.0,30,593920,133
Bach - 017606b_.csv,625000.0,96.0,361,77824,0.004638671875,0.0,30,389120,101
Bach - 017705bv.csv,681818.0,88.00002346667293,426,73729,0.005777916423659618,0.0,35,442374,117
Bach - 017705b_.csv,681818.0,88.00002346667293,426,73729,0.005777916423659618,0.0,35,442374,117
Bach - 017807b_.csv,625000.0,96.0,266,61441,0.00432935661854462,0.0,24,307205,85
Bach - 017906b_.csv,750000.0,80.0,331,61952,0.005342846074380165,0.0,32,371712,81
Bach - 018007bv.csv,625000.0,96.0,332,81920,0.004052734375,0.0,25,409600,84
