tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
6878,note_on,,,,,51,0,1,,,0,63,73,,
6890,note_off,,,,,12,0,1,,,0,65,64,,
7006,note_on,,,,,116,0,1,,,0,58,43,,
7012,note_on,,,,,6,0,1,,,0,53,49,,
7041,note_off,,,,,29,0,1,,,0,53,64,,
7042,control_change,,,,,1,0,1,,,0,,,64,127
7067,note_off,,,,,25,0,1,,,0,63,64,,
7068,note_on,,,,,1,0,1,,,0,61,65,,
7084,note_off,,,,,16,0,1,,,0,58,64,,
7129,note_on,,,,,45,0,1,,,0,65,68,,
7139,note_on,,,,,10,0,1,,,0,56,40,,
7147,note_on,,,,,0,0,1,,,0,47,27,,
7147,note_off,,,,,8,0,1,,,0,61,64,,
7177,note_off,,,,,30,0,1,,,0,56,64,,
7180,note_off,,,,,3,0,1,,,0,47,64,,
7180,control_change,,,,,0,0,1,,,0,,,64,0
7186,note_on,,,,,6,0,1,,,0,68,59,,
7192,note_off,,,,,6,0,1,,,0,65,64,,
7256,note_on,,,,,64,0,1,,,0,75,64,,
7278,note_off,,,,,22,0,1,,,0,68,64,,
7368,note_on,,,,,90,0,1,,,0,56,41,,
7369,note_on,,,,,1,0,1,,,0,65,45,,
7434,control_change,,,,,65,0,1,,,0,,,64,127
7448,note_on,,,,,14,0,1,,,0,73,49,,
7463,note_off,,,,,15,0,1,,,0,65,64,,
7468,note_off,,,,,5,0,1,,,0,75,64,,
7483,note_on,,,,,15,0,1,,,0,63,39,,
7484,note_off,,,,,1,0,1,,,0,56,64,,
7499,note_on,,,,,15,0,1,,,0,68,49,,
7515,note_off,,,,,16,0,1,,,0,73,64,,
7519,note_off,,,,,4,0,1,,,0,63,64,,
7543,note_off,,,,,24,0,1,,,0,68,64,,
7549,control_change,,,,,6,0,1,,,0,,,64,0
7549,note_on,,,,,0,0,1,,,0,65,54,,
7614,note_on,,,,,65,0,1,,,0,63,75,,
7633,note_off,,,,,19,0,1,,,0,65,64,,
7730,note_on,,,,,97,0,1,,,0,59,52,,
7736,note_on,,,,,6,0,1,,,0,54,37,,
7771,control_change,,,,,35,0,1,,,0,,,64,127
7773,note_off,,,,,2,0,1,,,0,54,64,,
7790,note_on,,,,,17,0,1,,,0,61,74,,
7791,note_off,,,,,1,0,1,,,0,63,64,,
7800,note_off,,,,,9,0,1,,,0,59,64,,
7839,note_on,,,,,39,0,1,,,0,49,46,,
7842,note_on,,,,,3,0,1,,,0,58,30,,
7850,note_on,,,,,8,0,1,,,0,66,67,,
7855,note_off,,,,,5,0,1,,,0,61,64,,
7866,note_off,,,,,11,0,1,,,0,49,64,,
7874,note_off,,,,,8,0,1,,,0,58,64,,
7902,control_change,,,,,28,0,1,,,0,,,64,0
7909,note_on,,,,,7,0,1,,,0,70,67,,
7926,note_off,,,,,17,0,1,,,0,66,64,,
7968,note_on,,,,,42,0,1,,,0,75,82,,
7992,note_off,,,,,24,0,1,,,0,70,64,,
8078,note_on,,,,,86,0,1,,,0,65,51,,
8079,control_change,,,,,1,0,1,,,0,,,64,127
8080,note_on,,,,,1,0,1,,,0,57,29,,
8094,note_off,,,,,14,0,1,,,0,75,64,,
8116,note_off,,,,,22,0,1,,,0,57,64,,
8127,note_on,,,,,11,0,1,,,0,73,66,,
8160,note_off,,,,,33,0,1,,,0,65,64,,
8185,note_on,,,,,25,0,1,,,0,58,45,,
8186,note_on,,,,,1,0,1,,,0,78,73,,
8192,note_on,,,,,6,0,1,,,0,66,36,,
8193,note_off,,,,,1,0,1,,,0,73,64,,
8220,note_off,,,,,27,0,1,,,0,58,64,,
8225,note_off,,,,,5,0,1,,,0,66,64,,
8238,note_on,,,,,13,0,1,,,0,82,72,,
8240,control_change,,,,,2,0,1,,,0,,,64,0
8251,note_off,,,,,11,0,1,,,0,78,64,,
8290,note_on,,,,,39,0,1,,,0,87,72,,
8298,note_off,,,,,8,0,1,,,0,82,64,,
8351,note_on,,,,,0,0,1,,,0,85,73,,
8351,note_off,,,,,53,0,1,,,0,87,64,,
8396,note_on,,,,,45,0,1,,,0,87,55,,
8399,note_on,,,,,3,0,1,,,0,69,38,,
8407,note_off,,,,,8,0,1,,,0,85,64,,
8410,note_on,,,,,3,0,1,,,0,60,33,,
8430,note_off,,,,,20,0,1,,,0,69,64,,
8442,note_off,,,,,12,0,1,,,0,60,64,,
8448,note_on,,,,,6,0,1,,,0,85,46,,
8458,note_off,,,,,10,0,1,,,0,87,64,,
8504,note_off,,,,,46,0,1,,,0,85,64,,
8509,note_on,,,,,5,0,1,,,0,82,52,,
8515,note_on,,,,,6,0,1,,,0,70,43,,
8525,note_on,,,,,10,0,1,,,0,61,31,,
8541,note_off,,,,,16,0,1,,,0,70,64,,
8549,note_off,,,,,8,0,1,,,0,82,64,,
8551,note_on,,,,,2,0,1,,,0,78,56,,
8559,note_off,,,,,8,0,1,,,0,61,64,,
8606,note_off,,,,,47,0,1,,,0,78,64,,
8609,note_on,,,,,3,0,1,,,0,75,65,,
8654,note_off,,,,,45,0,1,,,0,75,64,,
