tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
9940,set_tempo,,,,,32,1,0,487805,,,,,,
9946,note_off,,,,,10,0,1,,,0,,,75,64
9950,note_off,,,,,4,0,1,,,0,,,96,64
9952,note_off,,,,,2,0,1,,,0,,,90,64
9968,set_tempo,,,,,28,1,0,483871,,,,,,
10000,set_tempo,,,,,32,1,0,480000,,,,,,
10020,control_change,,,,,68,0,1,,,0,64,0,,
10032,set_tempo,,,,,32,1,0,476190,,,,,,
10040,note_on,,,,,20,0,1,,,0,,,90,69
10040,note_on,,,,,0,0,1,,,0,,,75,58
10042,note_on,,,,,2,0,1,,,0,,,96,67
10044,note_on,,,,,2,0,1,,,0,,,69,62
10060,set_tempo,,,,,28,1,0,472441,,,,,,
10066,control_change,,,,,22,0,1,,,0,64,127,,
10096,set_tempo,,,,,36,1,0,476190,,,,,,
10096,note_off,,,,,30,0,1,,,0,,,69,64
10102,note_off,,,,,6,0,1,,,0,,,75,64
10116,set_tempo,,,,,20,1,0,480000,,,,,,
10136,set_tempo,,,,,20,1,0,483871,,,,,,
10136,note_off,,,,,34,0,1,,,0,,,96,64
10156,set_tempo,,,,,20,1,0,487805,,,,,,
10166,note_on,,,,,30,0,1,,,0,,,68,62
10168,note_on,,,,,2,0,1,,,0,,,89,61
10170,note_on,,,,,2,0,1,,,0,,,74,54
10176,note_on,,,,,6,0,1,,,0,,,95,62
10176,set_tempo,,,,,20,1,0,491803,,,,,,
10184,note_off,,,,,8,0,1,,,0,,,90,64
10196,set_tempo,,,,,20,1,0,495868,,,,,,
10200,note_off,,,,,16,0,1,,,0,,,74,64
10202,note_off,,,,,2,0,1,,,0,,,89,64
10216,note_off,,,,,14,0,1,,,0,,,68,64
10220,note_off,,,,,4,0,1,,,0,,,95,64
10220,set_tempo,,,,,24,1,0,500000,,,,,,
10240,set_tempo,,,,,20,1,0,504202,,,,,,
10260,set_tempo,,,,,20,1,0,508475,,,,,,
10280,set_tempo,,,,,20,1,0,512821,,,,,,
10300,set_tempo,,,,,20,1,0,517241,,,,,,
10304,control_change,,,,,84,0,1,,,0,64,0,,
10316,note_on,,,,,12,0,1,,,0,,,100,76
10320,note_on,,,,,0,0,1,,,0,,,73,61
10320,set_tempo,,,,,20,1,0,521739,,,,,,
10320,note_on,,,,,4,0,1,,,0,,,94,76
10326,note_on,,,,,6,0,1,,,0,,,67,53
10342,control_change,,,,,16,0,1,,,0,64,127,,
10362,note_off,,,,,0,0,1,,,0,,,73,64
10362,note_off,,,,,20,0,1,,,0,,,67,64
10364,note_off,,,,,2,0,1,,,0,,,100,64
10368,note_off,,,,,4,0,1,,,0,,,94,64
10518,note_on,,,,,150,0,1,,,0,,,94,46
10520,note_on,,,,,2,0,1,,,0,,,100,46
10524,note_on,,,,,4,0,1,,,0,,,73,46
10528,note_on,,,,,4,0,1,,,0,,,67,46
10556,control_change,,,,,28,0,1,,,0,64,0,,
10676,control_change,,,,,120,0,1,,,0,64,127,,
10708,note_off,,,,,32,0,1,,,0,,,73,64
10738,note_off,,,,,30,0,1,,,0,,,67,64
10876,note_off,,,,,138,0,1,,,0,,,100,64
10878,note_on,,,,,2,0,1,,,0,,,99,77
10884,note_on,,,,,6,0,1,,,0,,,93,65
10884,note_on,,,,,0,0,1,,,0,,,66,48
10884,note_on,,,,,0,0,1,,,0,,,72,54
10900,note_off,,,,,16,0,1,,,0,,,94,64
10904,control_change,,,,,4,0,1,,,0,64,0,,
10916,control_change,,,,,12,0,1,,,0,64,127,,
10924,note_off,,,,,8,0,1,,,0,,,66,64
10952,note_off,,,,,28,0,1,,,0,,,72,64
10960,note_off,,,,,8,0,1,,,0,,,99,64
10980,note_off,,,,,20,0,1,,,0,,,93,64
11040,note_on,,,,,60,0,1,,,0,,,98,76
11044,note_on,,,,,4,0,1,,,0,,,92,65
11046,note_on,,,,,0,0,1,,,0,,,71,61
11046,note_on,,,,,2,0,1,,,0,,,77,59
11074,note_off,,,,,28,0,1,,,0,,,92,64
11092,note_off,,,,,18,0,1,,,0,,,77,64
11112,note_off,,,,,20,0,1,,,0,,,71,64
11138,note_off,,,,,26,0,1,,,0,,,98,64
11182,note_on,,,,,44,0,1,,,0,,,76,54
11184,note_on,,,,,2,0,1,,,0,,,97,69
11188,note_on,,,,,4,0,1,,,0,,,91,51
11188,note_on,,,,,0,0,1,,,0,,,70,60
11218,note_off,,,,,30,0,1,,,0,,,76,64
11220,note_off,,,,,2,0,1,,,0,,,70,64
11244,note_off,,,,,24,0,1,,,0,,,97,64
11254,note_off,,,,,10,0,1,,,0,,,91,64
11300,note_on,,,,,46,0,1,,,0,,,81,66
11302,note_on,,,,,2,0,1,,,0,,,75,67
11308,note_on,,,,,0,0,1,,,0,,,90,57
11308,note_on,,,,,6,0,1,,,0,,,96,66
11350,note_off,,,,,42,0,1,,,0,,,81,64
11356,note_off,,,,,6,0,1,,,0,,,96,64
11364,note_off,,,,,8,0,1,,,0,,,90,64
11364,note_off,,,,,0,0,1,,,0,,,75,64
11410,note_on,,,,,46,0,1,,,0,,,80,71
11416,note_on,,,,,6,0,1,,,0,,,89,57
11418,note_on,,,,,0,0,1,,,0,,,74,54
11418,note_on,,,,,2,0,1,,,0,,,95,58
11436,note_off,,,,,18,0,1,,,0,,,74,64
11452,note_off,,,,,16,0,1,,,0,,,80,64
11486,note_off,,,,,34,0,1,,,0,,,95,64
11530,note_on,,,,,44,0,1,,,0,,,85,81
11532,note_on,,,,,2,0,1,,,0,,,94,71
11536,note_on,,,,,0,0,1,,,0,,,79,72
11536,note_on,,,,,4,0,1,,,0,,,88,59
11540,note_off,,,,,4,0,1,,,0,,,89,64
11570,note_off,,,,,30,0,1,,,0,,,79,64
11580,note_off,,,,,10,0,1,,,0,,,85,64
11588,note_off,,,,,8,0,1,,,0,,,94,64
11590,note_off,,,,,2,0,1,,,0,,,88,64
11636,set_tempo,,,,,1316,1,0,517241,,,,,,
11640,set_tempo,,,,,4,1,0,512821,,,,,,
11648,note_on,,,,,58,0,1,,,0,,,84,76
11648,set_tempo,,,,,8,1,0,508475,,,,,,
11650,note_on,,,,,2,0,1,,,0,,,78,61
11652,note_on,,,,,2,0,1,,,0,,,93,63
11652,set_tempo,,,,,4,1,0,504202,,,,,,
11656,note_on,,,,,4,0,1,,,0,,,87,66
11660,set_tempo,,,,,8,1,0,500000,,,,,,
11664,set_tempo,,,,,4,1,0,495868,,,,,,
11672,set_tempo,,,,,8,1,0,491803,,,,,,
11676,set_tempo,,,,,4,1,0,487805,,,,,,
11684,set_tempo,,,,,8,1,0,483871,,,,,,
11688,set_tempo,,,,,4,1,0,480000,,,,,,
11692,set_tempo,,,,,4,1,0,476190,,,,,,
11696,note_off,,,,,40,0,1,,,0,,,84,64
11700,note_off,,,,,0,0,1,,,0,,,78,64
11700,note_off,,,,,4,0,1,,,0,,,93,64
11728,note_off,,,,,28,0,1,,,0,,,87,64
11750,note_on,,,,,22,0,1,,,0,,,83,54
11754,note_on,,,,,4,0,1,,,0,,,92,68
11756,note_on,,,,,2,0,1,,,0,,,86,67
11760,note_on,,,,,4,0,1,,,0,,,77,53
11796,note_off,,,,,0,0,1,,,0,,,83,64
