tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,note,velocity
362550,control_change,,,,,30,0,1,,64,0,0,,
362624,set_tempo,,,,,1628,1,0,281690,,,,,
362664,note_on,,,,,114,0,1,,,,0,51,97
362666,note_on,,,,,2,0,1,,,,0,39,83
362668,note_off,,,,,2,0,1,,,,0,88,64
362672,control_change,,,,,4,0,1,,64,127,0,,
362692,note_off,,,,,20,0,1,,,,0,83,64
362696,note_off,,,,,4,0,1,,,,0,76,64
362702,note_off,,,,,6,0,1,,,,0,80,64
362708,note_off,,,,,6,0,1,,,,0,51,64
362716,note_off,,,,,8,0,1,,,,0,39,64
362798,note_on,,,,,82,0,1,,,,0,52,94
362800,note_on,,,,,2,0,1,,,,0,40,91
362816,control_change,,,,,16,0,1,,64,0,0,,
362828,set_tempo,,,,,204,1,0,279070,,,,,
362840,control_change,,,,,24,0,1,,64,127,0,,
362894,note_off,,,,,54,0,1,,,,0,40,64
362912,note_off,,,,,18,0,1,,,,0,52,64
362938,note_on,,,,,0,0,1,,,,0,68,91
362938,note_on,,,,,26,0,1,,,,0,76,84
362940,note_on,,,,,2,0,1,,,,0,71,83
363032,set_tempo,,,,,204,1,0,277778,,,,,
363064,control_change,,,,,124,0,1,,64,0,0,,
363082,note_on,,,,,18,0,1,,,,0,63,92
363086,note_on,,,,,4,0,1,,,,0,51,97
363112,control_change,,,,,26,0,1,,64,127,0,,
363122,note_off,,,,,10,0,1,,,,0,71,64
363132,note_off,,,,,10,0,1,,,,0,68,64
363136,note_off,,,,,4,0,1,,,,0,76,64
363156,note_off,,,,,20,0,1,,,,0,51,64
363162,note_off,,,,,6,0,1,,,,0,63,64
363222,note_on,,,,,60,0,1,,,,0,64,95
363224,note_on,,,,,2,0,1,,,,0,52,85
363232,set_tempo,,,,,200,1,0,276498,,,,,
363250,control_change,,,,,26,0,1,,64,0,0,,
363286,control_change,,,,,36,0,1,,64,127,0,,
363370,note_on,,,,,84,0,1,,,,0,78,87
363372,note_on,,,,,2,0,1,,,,0,69,90
363374,note_off,,,,,2,0,1,,,,0,64,64
